UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to2p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.080#pm0.000, #Delta#sigma_{MC,Data}=0.083#pm0.000
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to2p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=0.009#pm0.013, #Delta#sigma_{MC,Data}=0.000#pm0.009
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to2p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.082#pm0.038, #Delta#sigma_{MC,Data}=-0.080#pm0.021
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to2p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=0.022#pm0.053, #Delta#sigma_{MC,Data}=-0.127#pm0.032
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to2p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=-0.071#pm0.000, #Delta#sigma_{MC,Data}=0.147#pm0.001
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to2p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=0.009#pm0.025, #Delta#sigma_{MC,Data}=-0.042#pm0.015
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to2p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=0.077#pm0.054, #Delta#sigma_{MC,Data}=-0.347#pm0.033
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to2p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=0.579#pm0.082, #Delta#sigma_{MC,Data}=-0.566#pm0.049
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to2p0, R0p4, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.071#pm0.000, #Delta#sigma_{MC,Data}=0.147#pm0.001
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to2p0, R0p4, FlowDefaultInRho): #Delta#mu_{MC,Data}=0.050#pm0.023, #Delta#sigma_{MC,Data}=0.005#pm0.014
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to2p0, R0p4, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.184#pm0.058, #Delta#sigma_{MC,Data}=-0.221#pm0.034
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to2p0, R0p4, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.077#pm0.066, #Delta#sigma_{MC,Data}=-0.320#pm0.043
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to2p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=-1.075#pm0.004, #Delta#sigma_{MC,Data}=0.208#pm0.002
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to2p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=-0.067#pm0.039, #Delta#sigma_{MC,Data}=-0.122#pm0.028
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to2p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=0.283#pm0.110, #Delta#sigma_{MC,Data}=-0.867#pm0.070
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to2p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=0.895#pm0.148, #Delta#sigma_{MC,Data}=-1.674#pm0.095
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to2p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=-1.075#pm0.004, #Delta#sigma_{MC,Data}=0.208#pm0.002
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to2p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.109#pm0.038, #Delta#sigma_{MC,Data}=-0.114#pm0.027
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to2p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.288#pm0.102, #Delta#sigma_{MC,Data}=-0.419#pm0.062
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to2p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.181#pm0.136, #Delta#sigma_{MC,Data}=-0.671#pm0.085
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to2p0, R0p8, NoFlow): #Delta#mu_{MC,Data}=-0.848#pm0.005, #Delta#sigma_{MC,Data}=0.478#pm0.003
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to2p0, R0p8, NoFlow): #Delta#mu_{MC,Data}=-0.248#pm0.057, #Delta#sigma_{MC,Data}=-0.308#pm0.039
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to2p0, R0p8, NoFlow): #Delta#mu_{MC,Data}=-0.267#pm0.130, #Delta#sigma_{MC,Data}=-1.956#pm0.092
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to2p0, R0p8, NoFlow): #Delta#mu_{MC,Data}=0.744#pm0.218, #Delta#sigma_{MC,Data}=-3.577#pm0.149
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to2p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.848#pm0.005, #Delta#sigma_{MC,Data}=0.478#pm0.003
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to2p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.144#pm0.051, #Delta#sigma_{MC,Data}=-0.188#pm0.035
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to2p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.563#pm0.121, #Delta#sigma_{MC,Data}=-0.769#pm0.081
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to2p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.649#pm0.167, #Delta#sigma_{MC,Data}=-1.356#pm0.115
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to2p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=1.369#pm0.006, #Delta#sigma_{MC,Data}=1.119#pm0.004
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to2p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-0.191#pm0.076, #Delta#sigma_{MC,Data}=-0.204#pm0.059
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to2p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-0.816#pm0.211, #Delta#sigma_{MC,Data}=-2.917#pm0.143
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to2p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-0.201#pm0.296, #Delta#sigma_{MC,Data}=-5.586#pm0.213
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to2p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=1.369#pm0.006, #Delta#sigma_{MC,Data}=1.119#pm0.004
